elapsed_s,latency_ms,fase
26.673,11.583,1
26.673,11.759,1
26.815,5.351,1
26.815,5.449,1
26.983,8.419,1
26.983,8.700,1
27.043,8.894,1
27.044,9.035,1
27.233,7.191,1
27.233,7.392,1
27.257,6.299,1
27.257,6.460,1
27.456,6.075,1
27.456,6.315,1
27.504,5.953,1
27.504,6.334,1
27.742,7.636,1
27.744,9.308,1
27.753,8.167,1
27.753,8.646,1
27.762,8.524,1
27.763,8.992,1
27.835,6.206,1
27.835,6.272,1
27.844,6.186,1
27.844,6.394,1
27.856,3.797,1
27.856,3.956,1
28.154,5.404,1
28.154,5.553,1
28.155,2.818,1
28.155,2.851,1
28.189,5.328,1
28.189,5.434,1
28.191,3.833,1
28.191,3.874,1
28.216,3.957,1
28.216,4.157,1
28.309,5.543,1
28.309,5.618,1
28.310,3.069,1
28.310,3.454,1
28.348,4.302,1
28.348,4.386,1
28.349,3.311,1
28.349,3.447,1
28.351,2.306,1
28.351,2.460,1
28.353,2.149,1
28.353,2.369,1
28.680,9.121,1
28.681,9.298,1
28.694,9.422,1
28.695,10.304,1
28.697,7.679,1
28.697,7.770,1
28.707,7.192,1
28.707,7.311,1
28.717,4.270,1
28.717,4.442,1
28.720,3.353,1
28.720,3.561,1
28.723,2.843,1
28.723,3.054,1
28.725,2.814,1
28.725,2.873,1
28.731,5.087,1
28.731,5.177,1
28.752,5.329,1
28.752,5.640,1
28.819,3.663,1
28.819,3.725,1
28.902,3.912,1
28.903,4.099,1
28.933,4.405,1
28.933,4.502,1
29.050,4.301,1
29.050,4.524,1
29.084,2.760,1
29.084,3.028,1
29.142,3.941,1
29.142,4.153,1
29.144,3.244,1
29.144,3.490,1
29.460,4.391,1
29.461,4.676,1
29.544,3.999,1
29.544,4.085,1
29.546,2.704,1
29.547,3.239,1
29.670,6.598,1
29.671,7.434,1
29.673,5.526,1
29.673,5.643,1
29.757,7.461,1
29.757,7.636,1
29.761,5.575,1
29.761,5.782,1
29.913,5.583,1
29.914,5.818,1
30.452,4.126,1
30.452,4.336,1
30.502,2.837,1
30.503,3.111,1
30.504,2.240,1
30.504,2.377,1
30.631,6.575,1
30.632,7.299,1
30.757,7.195,1
30.758,7.608,1
31.162,19.704,1
31.163,19.868,1
31.281,10.196,1
31.281,10.369,1
31.288,9.183,1
31.289,9.417,1
31.326,7.826,1
31.326,8.398,1
31.413,7.932,1
31.413,8.298,1
31.431,6.445,1
31.432,6.948,1
31.754,5.896,1
31.754,6.257,1
31.755,3.865,1
31.756,3.916,1
31.757,2.495,1
31.757,2.556,1
31.980,12.984,1
31.981,13.703,1
31.982,10.459,1
